	H1650	H23	CAL-12T	H358	H1975	HCC15	H1355	HCC827	H2405	HCC78	H1666	H661	H838	H1703	CALU-3	H2342	H2228	H1299	H1792	H460	H2106	H441	H1944	H1437	H1734	LOU-NH91	HCC44	A549	H1781
HOXD10	0.196095253	0.837478154	-0.480066945	-0.470771397	-0.607330641	-0.56044978	-0.455982575	-0.596181129	-0.472728945	-0.637902562	-0.522641464	-0.018204434	2.014898593	-0.571380906	-0.507357813	-0.634808224	-0.686388651	-0.447609391	-0.602054433	-0.518084409	1.482523457	-0.604222448	-0.566991434	-0.527387214	0.016153267	-0.603782379	-0.50538443	0.043950181	-0.60252881
HOXD11	0.238459475	0.573941016	-0.465054943	-0.63624995	-0.37190776	-0.37628282	-0.62778098	-0.570031872	-0.792519498	-0.667265304	-0.262756483	0.093191544	1.509837698	-0.452181036	-0.53391675	-0.40137564	-0.519733619	-0.568210143	-0.521809685	-0.363813401	2.443542637	-0.459089509	-0.627985522	-0.58001614	0.396811984	-0.643082582	-0.567128443	0.258171377	-0.518340126
HSF1	1.984267598	1.0788298	-0.369971042	1.776664452	-1.870800604	0.369048634	-0.588931607	-0.551469579	-0.423060926	-0.483271511	0.174359941	-1.036006507	-0.751948057	1.427151089	0.160102671	1.298742436	-0.532182198	2.343258038	-1.00827941	-1.232240334	0.170886863	-0.116908467	-0.346603638	0.026949528	0.104021696	0.128973901	-1.161882254	-0.325362527	1.216786936
HSF2	-1.024069285	-1.282994574	-1.667679421	-0.906669888	-0.895680454	-0.03479924	-0.573720073	-0.5456264	-0.453333076	0.04018276	-1.418787254	0.537755356	1.169882778	0.667990495	-0.565110947	0.407438779	-0.646254289	0.44336792	-0.08905884	0.305214712	2.479433262	-0.9426095	-1.110081437	-1.052158305	0.336298311	-0.275353352	-0.762355337	-0.565167953	0.390510212
FOXN2	-0.355455003	0.5712036	0.401915661	0.492608332	-0.038356645	2.252330499	0.554363559	-0.750810019	0.671703328	0.398390757	-0.504045697	1.275202252	0.08057522	1.994865275	0.797861667	-1.177939649	-0.722270073	0.154444676	-0.576217899	0.555337325	-0.838589807	-0.678993252	1.563434674	-0.404105411	-0.369802793	-1.11819715	-1.243806563	0.519347969	0.14998176
ZNF546	-1.218222826	0.185242746	-0.786383778	-1.421783689	-0.23484594	0.040630165	2.610727273	-1.123736309	0.132556916	-0.801438221	-0.382758824	3.92478052	0.60632889	0.867419302	-0.758122456	-0.766036004	0.174884669	0.034766318	0.788087352	-0.65431877	0.498558041	-1.105083081	0.812993587	-0.608093751	0.215196725	-0.371953024	-0.720451398	1.860755659	-1.360407881
TFAP2E	0.232225588	-0.489025398	-0.424658729	-0.259559711	-0.166312093	0.112884578	0.837258922	-0.157565072	-0.482489407	-0.652000371	-1.101753845	0.589380796	0.204782921	-0.272862304	-1.010842677	0.302315042	-0.522453828	-0.55041638	2.080596234	-0.466358799	0.096927939	-0.406005565	-0.298397377	0.13089446	-0.268788183	-0.245168798	0.26067566	-0.30922394	-1.052726831
ID2	-0.56633876	0.753915713	-2.056042269	-0.349656415	-0.135552009	0.680217233	0.251756517	-0.124690475	0.270347556	-1.21022805	-0.009323547	0.734687732	0.230162752	0.314665299	0.239903652	0.5124525	0.075539135	0.307299761	-1.097864806	0.690326888	0.818783211	-2.255815963	-0.70233542	0.083584716	-1.2801657	0.041829108	-0.756707265	0.642177917	-1.179626587
ID3	0.448447664	1.230914727	0.505638432	0.022992943	0.221290668	0.84911517	1.551205774	0.225167083	-2.25976175	-0.355279168	1.0598702	0.181602914	1.124463464	0.758674591	-1.160384129	-0.216525358	0.785031482	0.544361631	0.546891311	0.617972564	0.531058067	-0.359030919	-0.156293971	0.805323512	0.36879462	0.822248704	0.347369694	0.72228543	-1.107982008
ZKSCAN2	-0.085204211	0.555286177	-0.07255211	-0.877649232	-0.506366049	0.41491709	-0.090499569	-0.789915628	0.37038525	-0.88384742	-0.536187521	-0.306973055	-1.463288381	-0.110704884	0.191888338	-1.726949182	-0.796915293	0.157075569	-0.347616019	-0.43590629	2.71749966	-0.103543052	-0.549226327	0.867163427	-1.310926773	0.400200485	-0.802266786	-0.648877604	-0.691284128
