	H1650	H23	CAL-12T	H358	H1975	HCC15	H1355	HCC827	H2405	HCC78	H1666	H661	H838	H1703	CALU-3	H2342	H2228	H1299	H1792	H460	H2106	H441	H1944	H1437	H1734	LOU-NH91	HCC44	A549	H1781
CDK4	-0.79280357072	0.527687127317	0.000622536076589	0.356722593629	0.933286088489	-0.131728538436	0.808451944362	4.24088480106	-0.540231391037	-0.981456951629	-0.84689891963	-0.252795920537	0.114189581458	-0.0664988401023	0.149218808927	1.35126392398	0.645867211655	0.605610979613	3.23245457284	0.342634571781	-0.430912323975	-0.405905670353	0.199563989478	-1.12253629409	2.21033457074	0.405126315338	-0.0897631588669	0.405126315338	0.340012772662
LMTK3	0.177620539598	-0.016061489396	5.42211383283	1.30703967531	0.355814985436	0.276904994154	0.483153914679	-0.240495820684	1.33644599622	1.14961850205	0.36141297772	-0.38051893831	-0.213541003989	-0.471938638908	-0.620858722792	-0.163637058109	-0.487256141628	-0.0295696881676	-0.232057778361	-0.66903693873	-0.449241697956	1.15893040592	0.511962021643	2.3708341545	0.262893885127	-0.51312889486	-0.501210068439	0.439277560805	-0.342460508318
LRRK2	-0.697876150795	-0.555610265164	-0.360497559004	-0.460236731385	-0.680760697456	-0.169463518124	1.71570887482	-0.517104822527	0.184987708763	0.8106596999	-0.44033444823	-0.621052025938	-0.086803358026	-0.753966225375	-0.401972036741	-0.562086751978	-0.560644597156	0.542301380659	-0.382639145098	-0.377853523318	-0.713472923092	-0.377609368237	4.30890458104	-0.638131949246	-0.556114062773	-0.318145762826	-0.489582714402	1.6773765272	-0.682790464318
UHMK1	0.850546517987	-0.263279907223	0.179253031145	0.398646721321	1.53766380214	0.505291410747	0.902366490932	-0.166288030484	0.630730563556	0.399448282589	0.847171367211	-0.442268093976	0.443686760137	1.55296902932	1.11028348317	-0.326698071683	-0.405267373908	0.663747183345	0.4244700325	0.283221898666	-4.24397392104	0.718315578016	1.74734393284	-1.02092717486	0.305028513729	1.47174612962	0.048902278327	-0.255283555715	0.548224573179
EGFR	1.41241621553	0.0189875063051	0.902251622341	-0.178137469739	0.781819022267	0.2118158953	-0.0234271749861	3.55729595212	1.17378355571	-0.0123621637823	0.769782484079	-0.681031742914	-1.047375389	0.652065499099	0.172316691203	2.07243346855	1.13570937736	-0.169977180818	0.881067135882	-0.486159024537	-1.45183802558	0.371237737428	-0.581665325275	-0.126356156981	0.241004724466	1.0652691898	0.974531795965	0.668645091053	0.0569648904579
STK32A	-0.388039664975	-0.5926266136	-0.244136509575	0.74036473405	3.02334841465	-0.433985412115	-0.630124457313	1.15653198326	0.433696213082	3.84950781968	-0.225425741812	-0.656106808431	-0.311953357443	-0.397450225547	1.04402553843	-0.247816912193	3.64052434544	-0.592510390359	0.514666244663	-0.453969939636	1.6497376314	3.36602031281	-0.430502236814	-0.295312302541	2.82455149655	-0.014275115025	-0.410477794241	-0.229717783909	3.70982861599
NRK	1.40853713478	-0.0173693249632	-0.36712796192	0.313253547879	-0.162886860069	0.0274119330343	-0.281351556244	5.8138464889	-0.161706584498	0.472386751683	-0.339795839676	0.669956625154	-0.259639099988	-0.386601294562	-0.293654593366	4.39049972145	-0.420942213715	-0.402955154014	-0.346809493684	-0.22272513152	0.368499430227	1.49303248004	-0.341747180048	-0.343420451382	5.28480860699	-0.358156896162	-0.222931558318	-0.401391167455	-0.412478715023
ERBB2	0.906642405571	-0.684771422811	0.0152612543549	0.160567919747	0.365002113089	-0.564392698724	0.169072827052	-0.0351924962885	-0.031210405213	0.447742443247	0.544075102698	0.280008477164	-0.0662782224655	-0.225814317608	4.10349650693	1.21969156583	-0.245022000862	-0.681552658254	-0.304817332904	-0.511212294586	-1.10005601664	1.33598329475	-0.500561544243	0.721259818665	0.284747071728	0.232812723503	-0.79693010111	-0.156381455227	1.50385372144
ERBB4	-0.452907052016	-0.392790536075	-0.374173514505	-0.527418493157	-0.320103334046	-0.560657219194	-0.312847509135	-0.463903623186	-0.304652328923	-0.308971139981	-0.33193587585	4.09893082111	-0.413942149464	-0.501418917084	1.25616487602	-0.123560190163	-0.425577926903	-0.36998587969	-0.0546848808292	-0.484730630955	-0.419739472416	-0.432412431507	0.143245618575	-0.266932489017	-0.340860307042	-0.231847290607	-0.448292538579	-0.428681690217	-0.615936889082
AAK1	3.57905173456	0.923308070132	-0.651094367007	0.952743832716	-0.212733397306	0.00607452702983	-0.121038246175	0.0837690629074	-0.722678214059	1.66941098924	-0.247600883291	-0.284623649267	-0.687716717476	-0.320883884842	-0.93370415006	-0.309230052648	0.54487015154	0.824029397483	-0.0872919236091	-0.973905866975	-0.308282982927	0.822145703663	-0.729043079685	-0.0888657306458	-0.298484989561	-0.451367112055	-1.13404073296	0.379230442802	1.49161257658
