	IC50	GI50	EC50	hillSlope	E_inf
148360	6.4545	4.322	4.1282	2.8434	0.64732
148361	3.7183	2.6169	2.792	2.0284	0.79167
148362	2.6266	1.9199	1.9113	2.2129	0.75979
148363	15.7151	10.4091	15.4657	1.5076	1
148364	8.2006	5.3564	8.2373	1.4498	0.97979
148365	5.7509	3.7821	5.7691	1.2805	1
148366	0	0	0.053151	3.2626	0.29968
148367	0.037492	0.021198	0.017114	2.0158	0.60805
148368	0.037673	0.024136	0.019467	3.5035	0.55162
148369	0	0	0.016097	2.6029	0.21253
148370	0	0.015561	0.0096372	2.7685	0.45849
148371	0	0.015994	0.0097565	2.6142	0.47594
148372	0	0	0.10015	2.8139	0.26449
148373	0.16101	0.086393	0.070582	1.7608	0.62112
148374	0.25723	0.092113	0.062971	2.4745	0.51568
148375	15.1219	9.4252	15.8277	1.1244	1
148376	10.16	4.0124	10.9998	0.64585	1
148377	8.9181	2.8924	8.8188	0.59569	1
148378	20.0564	18.4467	20.0263	4	1
148379	13.2509	11.2417	13.225	4	0.97131
148380	14.3847	11.9179	14.5703	4	1
148381	0.12329	0.033876	0.022988	0.68747	0.66546
148382	0.19965	0.047883	0.029306	0.92337	0.58927
148383	0.14876	0.035379	0.039273	0.69088	0.7092
148384	0.42614	0.091624	0.047824	1.2154	0.53556
148385	0.12225	0.052682	0.048429	1.1754	0.66724
148386	0.24816	0.044436	0.031625	1.1113	0.54989
148387	0.49559	0.1644	0.10043	1.3864	0.55569
148388	0.21068	0.093616	0.074654	1.4072	0.61899
148389	0.90703	0.11486	0.075014	1.1336	0.52935
